route,basin,lengthClass,date,season,year,distKm,speedMps,geoFuelKg,gcFuelKg,calmPathRealFuelKg,realFuelKg,benefitKg,benefitPct,meshFuelKg,meshGainPct,currentEffectPct,wps,fetchS,routeS,status,speedOptFuelKg,speedOptDurationH,speedOptMeanMps,meshSpeedOptFuelKg,meshSpeedOptDurationH,meshSpeedOptMeanMps,calmSpeedOptFuelKg,awareSpeedOptFuelKg,etaSlack,speedSet,speedOptCostUSD,meshSpeedOptCostUSD,calmSpeedOptCostUSD,awareSpeedOptCostUSD
Antwerpen->Zeebrugge,NorthSea,coastal,2022-01-15,DJF,2022,84.6,6.0,NA,3769.9,NA,NA,NA,NA,NA,NA,NA,NA,0.1,66.6,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2022-04-15,MAM,2022,84.6,6.0,NA,3692.1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,47.6,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2022-07-15,JJA,2022,84.6,6.0,NA,3869.7,NA,NA,NA,NA,NA,NA,NA,NA,0.1,52.4,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2022-10-15,SON,2022,84.6,6.0,NA,4037.8,NA,NA,NA,NA,NA,NA,NA,NA,0.1,53.1,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2023-01-15,DJF,2023,84.6,6.0,NA,8105.8,NA,NA,NA,NA,NA,NA,NA,NA,0.1,54.1,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2023-04-15,MAM,2023,84.6,6.0,NA,3753.6,NA,NA,NA,NA,NA,NA,NA,NA,0.1,51.7,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2023-07-15,JJA,2023,84.6,6.0,NA,4536.5,NA,NA,NA,NA,NA,NA,NA,NA,0.1,50.0,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2023-10-15,SON,2023,84.6,6.0,NA,6462.1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,47.6,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2022-01-15,DJF,2022,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,38.7,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2022-04-15,MAM,2022,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,39.7,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2022-07-15,JJA,2022,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,39.3,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2022-10-15,SON,2022,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,39.5,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2023-01-15,DJF,2023,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,39.2,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2023-04-15,MAM,2023,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,37.3,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2023-07-15,JJA,2023,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,38.0,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2023-10-15,SON,2023,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,35.0,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
NewYork->Boston,NWAtlantic,coastal,2022-01-15,DJF,2022,306.9,6.0,NA,23828.1,65810.7,NA,NA,NA,61149.3,NA,NA,32,0.2,260.8,ok,NA,NA,NA,59073.0,35.292,5.717,62571.8,59073.0,0.050,5.0|5.5|6.0|6.5|7.0,NA,37511.37,41128.13,37511.37
