route,basin,lengthClass,date,season,year,distKm,speedMps,geoFuelKg,gcFuelKg,calmPathRealFuelKg,realFuelKg,benefitKg,benefitPct,meshFuelKg,meshGainPct,currentEffectPct,wps,fetchS,routeS,status,speedOptFuelKg,speedOptDurationH,speedOptMeanMps,meshSpeedOptFuelKg,meshSpeedOptDurationH,meshSpeedOptMeanMps,calmSpeedOptFuelKg,awareSpeedOptFuelKg,etaSlack,speedSet,speedOptCostUSD,meshSpeedOptCostUSD,calmSpeedOptCostUSD,awareSpeedOptCostUSD
Antwerpen->Zeebrugge,NorthSea,coastal,2022-01-15,DJF,2022,84.6,6.0,NA,1029.5,1190.6,1190.6,0.0,0.00,NA,NA,NA,30,0.2,119.5,ok,1081.0,4.772,5.720,NA,NA,NA,1080.4,1081.0,0.050,5.0|5.5|6.0|6.5|7.0,695.07,NA,681.55,695.07
Antwerpen->Zeebrugge,NorthSea,coastal,2022-04-15,MAM,2022,84.6,6.0,NA,1018.2,1186.3,1186.3,0.0,0.00,NA,NA,NA,30,0.1,104.1,ok,1076.4,4.772,5.720,NA,NA,NA,1075.8,1076.4,0.050,5.0|5.5|6.0|6.5|7.0,692.01,NA,678.48,692.01
Antwerpen->Zeebrugge,NorthSea,coastal,2022-07-15,JJA,2022,84.6,6.0,NA,1040.2,1206.6,1206.6,0.0,0.00,NA,NA,NA,30,0.1,103.6,ok,1100.8,4.765,5.728,NA,NA,NA,1096.2,1100.8,0.050,5.0|5.5|6.0|6.5|7.0,707.17,NA,691.54,707.17
Antwerpen->Zeebrugge,NorthSea,coastal,2022-10-15,SON,2022,84.6,6.0,NA,1068.4,1228.5,1228.0,0.5,0.04,NA,NA,NA,29,0.1,108.5,ok,1120.6,4.761,5.716,NA,NA,NA,1120.9,1120.6,0.050,5.0|5.5|6.0|6.5|7.0,720.88,NA,707.93,720.88
Antwerpen->Zeebrugge,NorthSea,coastal,2023-01-15,DJF,2023,84.6,6.0,NA,1628.0,1800.6,1793.2,7.4,0.41,NA,NA,NA,29,0.1,102.3,ok,1695.4,4.753,5.726,NA,NA,NA,1705.6,1695.4,0.050,5.0|5.5|6.0|6.5|7.0,1092.11,NA,1086.67,1092.11
Antwerpen->Zeebrugge,NorthSea,coastal,2023-04-15,MAM,2023,84.6,6.0,NA,1027.3,1199.4,1199.4,0.0,0.00,NA,NA,NA,30,0.1,99.6,ok,1093.7,4.764,5.730,NA,NA,NA,1088.6,1093.7,0.050,5.0|5.5|6.0|6.5|7.0,704.16,NA,688.13,704.16
Antwerpen->Zeebrugge,NorthSea,coastal,2023-07-15,JJA,2023,84.6,6.0,NA,1143.4,1293.6,1292.1,1.6,0.12,NA,NA,NA,29,0.1,97.9,ok,1197.8,4.745,5.735,NA,NA,NA,1192.1,1197.8,0.050,5.0|5.5|6.0|6.5|7.0,780.85,NA,757.83,780.85
Antwerpen->Zeebrugge,NorthSea,coastal,2023-10-15,SON,2023,84.6,6.0,NA,1399.3,1520.3,1515.7,4.6,0.30,NA,NA,NA,29,0.1,104.6,ok,1422.5,4.748,5.732,NA,NA,NA,1430.4,1422.5,0.050,5.0|5.5|6.0|6.5|7.0,915.52,NA,910.34,915.52
Santos->Paranagua,SAtlantic,coastal,2022-01-15,DJF,2022,280.4,6.0,NA,4326.6,4718.2,NA,NA,NA,4718.2,NA,NA,17,0.2,67.7,ok,NA,NA,NA,4430.5,15.856,5.781,4340.8,4430.5,0.050,5.0|5.5|6.0|6.5|7.0,NA,2281.70,2235.50,2281.70
Santos->Paranagua,SAtlantic,coastal,2022-04-15,MAM,2022,280.4,6.0,NA,6904.4,7565.6,NA,NA,NA,7565.6,NA,NA,17,0.1,72.0,ok,NA,NA,NA,7202.6,16.024,5.720,7180.7,7202.6,0.050,5.0|5.5|6.0|6.5|7.0,NA,3709.32,3698.05,3709.32
