lon,lat,hs
-83.000,6.000,1.487
-82.500,6.000,1.499
-82.000,6.000,1.523
-81.500,6.000,1.564
-81.000,6.000,1.682
-80.500,6.000,1.995
-80.000,6.000,2.110
-79.500,6.000,2.029
-79.000,6.000,1.792
-78.500,6.000,1.337
-78.000,6.000,1.013
-77.500,6.000,nan
-77.000,6.000,nan
-76.500,6.000,nan
-76.000,6.000,nan
-75.500,6.000,nan
-75.000,6.000,nan
-74.500,6.000,nan
-74.000,6.000,nan
-73.500,6.000,nan
-73.000,6.000,nan
-72.500,6.000,nan
-72.000,6.000,nan
-71.500,6.000,nan
-71.000,6.000,nan
-70.500,6.000,nan
-70.000,6.000,nan
-83.000,6.500,1.454
-82.500,6.500,1.463
-82.000,6.500,1.516
-81.500,6.500,1.586
-81.000,6.500,1.599
-80.500,6.500,1.862
-80.000,6.500,2.077
-79.500,6.500,1.975
-79.000,6.500,1.755
-78.500,6.500,1.356
-78.000,6.500,0.990
-77.500,6.500,nan
-77.000,6.500,nan
-76.500,6.500,nan
-76.000,6.500,nan
-75.500,6.500,nan
-75.000,6.500,nan
-74.500,6.500,nan
-74.000,6.500,nan
-73.500,6.500,nan
-73.000,6.500,nan
-72.500,6.500,nan
-72.000,6.500,nan
-71.500,6.500,nan
-71.000,6.500,nan
-70.500,6.500,nan
-70.000,6.500,nan
-83.000,7.000,1.414
-82.500,7.000,1.406
-82.000,7.000,1.438
-81.500,7.000,1.467
-81.000,7.000,1.374
-80.500,7.000,1.504
-80.000,7.000,1.885
-79.500,7.000,1.888
-79.000,7.000,1.687
-78.500,7.000,1.316
-78.000,7.000,nan
-77.500,7.000,nan
-77.000,7.000,nan
-76.500,7.000,nan
-76.000,7.000,nan
-75.500,7.000,nan
-75.000,7.000,nan
-74.500,7.000,nan
-74.000,7.000,nan
-73.500,7.000,nan
-73.000,7.000,nan
-72.500,7.000,nan
-72.000,7.000,nan
-71.500,7.000,nan
-71.000,7.000,nan
-70.500,7.000,nan
-70.000,7.000,nan
-83.000,7.500,1.367
-82.500,7.500,1.310
-82.000,7.500,1.198
-81.500,7.500,0.871
-81.000,7.500,nan
-80.500,7.500,nan
-80.000,7.500,1.565
-79.500,7.500,1.718
-79.000,7.500,1.590
-78.500,7.500,nan
-78.000,7.500,nan
-77.500,7.500,nan
-77.000,7.500,nan
-76.500,7.500,nan
-76.000,7.500,nan
-75.500,7.500,nan
-75.000,7.500,nan
-74.500,7.500,nan
-74.000,7.500,nan
-73.500,7.500,nan
-73.000,7.500,nan
-72.500,7.500,nan
-72.000,7.500,nan
-71.500,7.500,nan
-71.000,7.500,nan
-70.500,7.500,nan
-70.000,7.500,nan
-83.000,8.000,1.276
-82.500,8.000,1.049
-82.000,8.000,nan
-81.500,8.000,nan
-81.000,8.000,nan
-80.500,8.000,nan
-80.000,8.000,1.027
-79.500,8.000,1.420
-79.000,8.000,1.358
-78.500,8.000,nan
-78.000,8.000,nan
-77.500,8.000,nan
-77.000,8.000,nan
-76.500,8.000,nan
-76.000,8.000,nan
-75.500,8.000,nan
-75.000,8.000,nan
-74.500,8.000,nan
-74.000,8.000,nan
-73.500,8.000,nan
-73.000,8.000,nan
-72.500,8.000,nan
-72.000,8.000,nan
-71.500,8.000,nan
-71.000,8.000,nan
-70.500,8.000,nan
-70.000,8.000,nan
-83.000,8.500,nan
-82.500,8.500,nan
-82.000,8.500,nan
-81.500,8.500,nan
-81.000,8.500,nan
-80.500,8.500,nan
-80.000,8.500,nan
-79.500,8.500,0.900
-79.000,8.500,0.844
-78.500,8.500,nan
-78.000,8.500,nan
-77.500,8.500,nan
-77.000,8.500,nan
-76.500,8.500,nan
-76.000,8.500,nan
-75.500,8.500,nan
-75.000,8.500,nan
-74.500,8.500,nan
-74.000,8.500,nan
-73.500,8.500,nan
-73.000,8.500,nan
-72.500,8.500,nan
-72.000,8.500,nan
-71.500,8.500,nan
-71.000,8.500,nan
