lon,lat,hs
-93.649,27.701,1.468
-93.149,27.701,1.461
-92.649,27.701,1.387
-92.149,27.701,1.262
-91.649,27.701,1.157
-91.149,27.701,1.094
-90.649,27.701,1.083
-90.149,27.701,1.093
-89.649,27.701,1.100
-89.149,27.701,1.106
-88.649,27.701,1.096
-88.149,27.701,1.052
-87.649,27.701,1.006
-87.149,27.701,0.978
-86.649,27.701,0.944
-86.149,27.701,0.902
-85.649,27.701,0.883
-85.149,27.701,0.879
-84.649,27.701,0.875
-84.149,27.701,0.860
-83.649,27.701,0.791
-83.149,27.701,0.594
-82.649,27.701,nan
-82.149,27.701,nan
-81.649,27.701,nan
-81.149,27.701,nan
-80.649,27.701,nan
-80.149,27.701,0.958
-79.649,27.701,1.113
-79.149,27.701,1.211
-78.649,27.701,1.349
-78.149,27.701,1.523
-77.649,27.701,1.660
-77.149,27.701,1.698
-76.649,27.701,1.668
-76.149,27.701,1.622
-75.649,27.701,1.577
-75.149,27.701,1.526
-74.649,27.701,1.460
-74.149,27.701,1.388
-73.649,27.701,1.327
-73.149,27.701,1.275
-72.649,27.701,1.228
-72.149,27.701,1.216
-71.649,27.701,1.228
-71.149,27.701,1.250
-70.649,27.701,1.279
-70.149,27.701,1.280
-69.649,27.701,1.257
-69.149,27.701,1.233
-68.649,27.701,1.219
-68.149,27.701,1.215
-67.649,27.701,1.214
-67.149,27.701,1.210
-66.649,27.701,1.204
-66.149,27.701,1.199
-65.649,27.701,1.200
-65.149,27.701,1.210
-64.649,27.701,1.226
-64.149,27.701,1.244
-63.649,27.701,1.260
-63.149,27.701,1.275
-62.649,27.701,1.287
-62.149,27.701,1.295
-61.649,27.701,1.304
-61.149,27.701,1.316
-60.649,27.701,1.331
-60.149,27.701,1.343
-59.649,27.701,1.350
-59.149,27.701,1.354
-58.649,27.701,1.361
-58.149,27.701,1.374
-57.649,27.701,1.392
-57.149,27.701,1.410
-56.649,27.701,1.430
-56.149,27.701,1.449
-55.649,27.701,1.467
-55.149,27.701,1.481
-54.649,27.701,1.495
-54.149,27.701,1.510
-53.649,27.701,1.528
-53.149,27.701,1.547
-52.649,27.701,1.569
-52.149,27.701,1.595
-51.649,27.701,1.625
-51.149,27.701,1.658
-50.649,27.701,1.692
-50.149,27.701,1.725
-49.649,27.701,1.754
-49.149,27.701,1.780
-48.649,27.701,1.802
-48.149,27.701,1.819
-47.649,27.701,1.831
-47.149,27.701,1.838
-46.649,27.701,1.838
-46.149,27.701,1.832
-45.649,27.701,1.821
-45.149,27.701,1.805
-44.649,27.701,1.785
-44.149,27.701,1.763
-43.649,27.701,1.741
-43.149,27.701,1.718
-42.649,27.701,1.696
-42.149,27.701,1.676
-41.649,27.701,1.663
-41.149,27.701,1.657
-40.649,27.701,1.659
-40.149,27.701,1.665
-39.649,27.701,1.671
-39.149,27.701,1.677
-38.649,27.701,1.684
-38.149,27.701,1.692
-37.649,27.701,1.700
-37.149,27.701,1.705
-36.649,27.701,1.706
-36.149,27.701,1.708
-35.649,27.701,1.713
-35.149,27.701,1.726
-34.649,27.701,1.745
-34.149,27.701,1.764
-33.649,27.701,1.778
-33.149,27.701,1.779
-32.649,27.701,1.768
-32.149,27.701,1.752
-31.649,27.701,1.742
-31.149,27.701,1.746
-30.649,27.701,1.762
-30.149,27.701,1.777
-29.649,27.701,1.787
-29.149,27.701,1.784
-28.649,27.701,1.780
-28.149,27.701,1.786
-27.649,27.701,1.797
-27.149,27.701,1.810
-26.649,27.701,1.821
-26.149,27.701,1.829
-25.649,27.701,1.836
-25.149,27.701,1.843
-24.649,27.701,1.844
-24.149,27.701,1.838
-23.649,27.701,1.827
-23.149,27.701,1.817
-22.649,27.701,1.811
-22.149,27.701,1.809
-21.649,27.701,1.815
-21.149,27.701,1.830
-20.649,27.701,1.852
-20.149,27.701,1.868
-19.649,27.701,1.871
-19.149,27.701,1.868
-18.649,27.701,1.851
-18.149,27.701,1.712
-17.649,27.701,1.544
-17.149,27.701,1.291
-16.649,27.701,1.056
-16.149,27.701,1.126
-15.649,27.701,nan
-15.149,27.701,nan
-14.649,27.701,1.350
-14.149,27.701,1.001
-13.649,27.701,0.899
-13.149,27.701,1.045
-12.649,27.701,1.193
-12.149,27.701,nan
-11.649,27.701,nan
-11.149,27.701,nan
-10.649,27.701,nan
-10.149,27.701,nan
-9.649,27.701,nan
-9.149,27.701,nan
-8.649,27.701,nan
-8.149,27.701,nan
-7.649,27.701,nan
-7.149,27.701,nan
-6.649,27.701,nan
-6.149,27.701,nan
-5.649,27.701,nan
-5.149,27.701,nan
-4.649,27.701,nan
-4.149,27.701,nan
-3.649,27.701,nan
-3.149,27.701,nan
-2.649,27.701,nan
-2.149,27.701,nan
-1.649,27.701,nan
-1.149,27.701,nan
-0.649,27.701,nan
-0.149,27.701,nan
0.351,27.701,nan
0.851,27.701,nan
1.351,27.701,nan
1.851,27.701,nan
2.351,27.701,nan
2.851,27.701,nan
3.351,27.701,nan
3.851,27.701,nan
4.351,27.701,nan
4.851,27.701,nan
5.351,27.701,nan
5.851,27.701,nan
6.351,27.701,nan
6.851,27.701,nan
7.351,27.701,nan
7.851,27.701,nan
8.351,27.701,nan
8.851,27.701,nan
9.351,27.701,nan
9.851,27.701,nan
10.351,27.701,nan
10.851,27.701,nan
11.351,27.701,nan
11.851,27.701,nan
12.351,27.701,nan
