series,idx,lon,lat
blind,0,4.14186,52.00560
blind,1,4.40691,52.22346
blind,2,4.57732,52.47358
blind,3,4.57732,52.48094
blind,4,4.59693,52.50658
blind,5,4.63933,52.70067
blind,6,4.66944,52.79658
blind,7,4.70769,53.02847
blind,8,-1.64550,59.51411
blind,9,-6.67760,61.39411
blind,10,-6.69978,61.40424
blind,11,-6.73668,61.43073
blind,12,-6.82746,61.47187
blind,13,-6.87047,61.50153
blind,14,-6.89224,61.54243
blind,15,-6.92309,61.56611
blind,16,-6.94603,61.59073
blind,17,-6.95352,61.61367
blind,18,-6.96255,61.62873
blind,19,-7.55871,62.09614
blind,20,-7.64070,62.09984
blind,21,-7.64415,62.10700
blind,22,-18.78303,63.39765
blind,23,-20.27953,63.40274
blind,24,-20.28677,63.40648
blind,25,-20.29809,63.42308
blind,26,-20.30557,63.43476
blind,27,-20.62247,63.72578
blind,28,-20.70031,63.74970
blind,29,-20.81823,63.78124
blind,30,-20.85863,63.80044
blind,31,-20.94884,63.82722
blind,32,-21.65990,63.83185
blind,33,-22.51391,63.82563
blind,34,-22.52514,63.82221
blind,35,-22.53588,63.82119
blind,36,-22.66491,63.81501
blind,37,-22.67125,63.81098
blind,38,-22.67907,63.80915
blind,39,-22.69123,63.81220
blind,40,-22.71752,63.82844
blind,41,-52.93611,46.81704
blind,42,-52.93749,46.80337
blind,43,-52.94127,46.79133
blind,44,-53.06688,46.66559
blind,45,-53.09154,46.64960
blind,46,-53.14306,46.62914
blind,47,-53.17663,46.62515
blind,48,-53.19286,46.62763
blind,49,-53.21133,46.63532
blind,50,-53.51830,46.62857
blind,51,-53.55468,46.61835
blind,52,-53.59000,46.62617
blind,53,-53.62287,46.65583
blind,54,-53.62658,46.66299
blind,55,-53.63492,46.68586
blind,56,-53.63646,46.69400
blind,57,-53.63646,46.71137
blind,58,-56.19579,46.75275
blind,59,-56.22191,46.75462
blind,60,-56.24031,46.76569
blind,61,-56.35851,46.78075
blind,62,-56.37068,46.78620
blind,63,-60.13016,43.96047
blind,64,-64.73119,43.96349
blind,65,-64.79711,43.89488
blind,66,-64.78596,43.87450
blind,67,-64.81261,43.85285
blind,68,-64.83898,43.82966
blind,69,-64.85424,43.83975
blind,70,-64.88573,43.83885
blind,71,-64.88150,43.81184
blind,72,-64.90661,43.80500
blind,73,-64.95824,43.76577
blind,74,-64.97008,43.75894
blind,75,-64.98396,43.75788
blind,76,-65.01598,43.75841
blind,77,-65.01448,43.74254
blind,78,-65.01659,43.72716
blind,79,-65.02497,43.71621
blind,80,-65.03441,43.71231
blind,81,-65.03677,43.71540
blind,82,-65.03767,43.72081
blind,83,-65.05285,43.72053
blind,84,-65.05968,43.70319
blind,85,-65.07698,43.71076
blind,86,-65.12857,43.67467
blind,87,-65.25036,43.67341
blind,88,-65.26354,43.67080
blind,89,-65.34606,43.58739
blind,90,-65.34081,43.54491
blind,91,-65.36254,43.57494
blind,92,-65.40779,43.51878
blind,93,-65.40168,43.50397
blind,94,-65.41617,43.50007
blind,95,-65.47411,43.50377
blind,96,-65.47142,43.49380
blind,97,-65.47057,43.48005
blind,98,-65.47484,43.47093
blind,99,-65.48424,43.47191
blind,100,-65.49364,43.48033
blind,101,-65.50402,43.50283
blind,102,-65.56867,43.49457
blind,103,-65.57421,43.47671
blind,104,-65.59797,43.44473
blind,105,-65.61059,43.42817
blind,106,-65.62881,43.42206
blind,107,-69.98217,41.95362
blind,108,-69.92467,41.83808
blind,109,-69.92772,41.83487
blind,110,-69.93102,41.83295
blind,111,-69.93468,41.83210
blind,112,-69.93887,41.83185
blind,113,-69.94201,41.80646
blind,114,-69.93423,41.79295
blind,115,-69.93253,41.74103
blind,116,-69.93887,41.67422
blind,117,-69.97814,41.68183
blind,118,-70.22964,41.64623
blind,119,-70.44603,41.41352
blind,120,-70.44494,41.38203
blind,121,-70.44669,41.36742
blind,122,-70.45287,41.35887
blind,123,-70.69628,41.35151
blind,124,-70.80176,41.24808
blind,125,-70.81090,41.24805
blind,126,-71.54909,41.15204
blind,127,-71.59955,41.14578
blind,128,-71.88497,41.04540
blind,129,-71.92951,41.03785
blind,130,-72.00887,41.00739
blind,131,-72.08715,40.98343
blind,132,-72.15982,40.95527
blind,133,-72.21986,40.93342
blind,134,-72.31699,40.89626
blind,135,-72.40666,40.86207
blind,136,-72.44127,40.85501
blind,137,-72.49079,40.84687
blind,138,-72.50231,40.83906
blind,139,-72.54182,40.82050
blind,140,-72.60528,40.80133
blind,141,-72.72395,40.77042
blind,142,-72.73200,40.76996
blind,143,-72.73790,40.77379
blind,144,-72.75724,40.76009
blind,145,-72.83153,40.74164
blind,146,-72.91348,40.71290
blind,147,-72.99153,40.68818
blind,148,-73.04101,40.67263
blind,149,-73.14753,40.64431
blind,150,-73.24578,40.62381
blind,151,-73.29746,40.62262
blind,152,-73.38952,40.61677
blind,153,-73.57412,40.57509
blind,154,-73.89712,40.55468
blind,155,-73.93947,40.54196
blind,156,-73.93948,40.55548
blind,157,-73.91177,40.58370
blind,158,-73.93217,40.57774
blind,159,-73.94158,40.57456
blind,160,-73.98813,40.56937
blind,161,-74.00382,40.57055
blind,162,-74.01167,40.57929
blind,163,-74.00069,40.58327
blind,164,-73.99809,40.58963
blind,165,-74.00490,40.59718
blind,166,-74.03002,40.60550
blind,167,-74.03999,40.61979
blind,168,-74.03583,40.63886
blind,169,-74.01548,40.67780
blind,170,-74.00223,40.70405
aware,0,4.14186,52.00560
aware,1,4.28468,52.11294
aware,2,4.56861,52.44526
aware,3,4.57732,52.48094
aware,4,4.59693,52.50658
aware,5,4.63933,52.70067
aware,6,4.65984,52.76529
aware,7,4.66944,52.79658
aware,8,4.70769,53.02847
aware,9,-1.64550,59.51411
aware,10,-6.67760,61.39411
aware,11,-6.69978,61.40424
aware,12,-6.73668,61.43073
aware,13,-6.82746,61.47187
aware,14,-6.87047,61.50153
aware,15,-6.89224,61.54243
aware,16,-6.92309,61.56611
aware,17,-6.94603,61.59073
aware,18,-6.95352,61.61367
aware,19,-6.96255,61.62873
aware,20,-7.55871,62.09614
aware,21,-7.64070,62.09984
aware,22,-7.64415,62.10700
aware,23,-18.73205,63.39671
aware,24,-18.78303,63.39765
aware,25,-20.27953,63.40274
aware,26,-20.28677,63.40648
aware,27,-20.29809,63.42308
aware,28,-20.30557,63.43476
aware,29,-20.62247,63.72578
aware,30,-20.70031,63.74970
aware,31,-20.81823,63.78124
aware,32,-20.85863,63.80044
aware,33,-20.94884,63.82722
aware,34,-21.65990,63.83185
aware,35,-22.51391,63.82563
aware,36,-22.52514,63.82221
aware,37,-22.53588,63.82119
aware,38,-22.66491,63.81501
aware,39,-22.67125,63.81098
aware,40,-22.67907,63.80915
aware,41,-22.69123,63.81220
aware,42,-22.71752,63.82844
aware,43,-52.92618,46.86831
aware,44,-52.93017,46.82713
aware,45,-52.93749,46.80337
aware,46,-52.94127,46.79133
aware,47,-53.06688,46.66559
aware,48,-53.09154,46.64960
aware,49,-53.14306,46.62914
aware,50,-53.17663,46.62515
aware,51,-53.19286,46.62763
aware,52,-53.21133,46.63532
aware,53,-53.51830,46.62857
aware,54,-53.55468,46.61835
aware,55,-53.59000,46.62617
aware,56,-53.62287,46.65583
aware,57,-53.62658,46.66299
aware,58,-53.63492,46.68586
aware,59,-53.63646,46.69400
aware,60,-53.63646,46.71137
aware,61,-56.16808,46.75727
aware,62,-56.19579,46.75275
aware,63,-56.22191,46.75462
aware,64,-56.24031,46.76569
aware,65,-56.35851,46.78075
aware,66,-56.37068,46.78620
aware,67,-60.13016,43.96047
aware,68,-64.73119,43.96349
aware,69,-64.79711,43.89488
aware,70,-64.78596,43.87450
aware,71,-64.81261,43.85285
aware,72,-64.83898,43.82966
aware,73,-64.85424,43.83975
aware,74,-64.88573,43.83885
aware,75,-64.88150,43.81184
aware,76,-64.90661,43.80500
aware,77,-64.95824,43.76577
aware,78,-64.97008,43.75894
aware,79,-64.98396,43.75788
aware,80,-65.01598,43.75841
aware,81,-65.01448,43.74254
aware,82,-65.01659,43.72716
aware,83,-65.02497,43.71621
aware,84,-65.03441,43.71231
aware,85,-65.03677,43.71540
aware,86,-65.03767,43.72081
aware,87,-65.05285,43.72053
aware,88,-65.05968,43.70319
aware,89,-65.07698,43.71076
aware,90,-65.12857,43.67467
aware,91,-65.25036,43.67341
aware,92,-65.26354,43.67080
aware,93,-65.34606,43.58739
aware,94,-65.34081,43.54491
aware,95,-65.36254,43.57494
aware,96,-65.40779,43.51878
aware,97,-65.40168,43.50397
aware,98,-65.41617,43.50007
aware,99,-65.47411,43.50377
aware,100,-65.47142,43.49380
aware,101,-65.47057,43.48005
aware,102,-65.47484,43.47093
aware,103,-65.48424,43.47191
aware,104,-65.49364,43.48033
aware,105,-65.50402,43.50283
aware,106,-65.56867,43.49457
aware,107,-65.57421,43.47671
aware,108,-65.59797,43.44473
aware,109,-65.61059,43.42817
aware,110,-65.62881,43.42206
aware,111,-69.98217,41.95362
aware,112,-69.92467,41.83808
aware,113,-69.92772,41.83487
aware,114,-69.93102,41.83295
aware,115,-69.93468,41.83210
aware,116,-69.93887,41.83185
aware,117,-69.94201,41.80646
aware,118,-69.93423,41.79295
aware,119,-69.93253,41.74103
aware,120,-69.93887,41.67422
aware,121,-69.97814,41.68183
aware,122,-70.13687,41.66055
aware,123,-70.21736,41.64826
aware,124,-70.24852,41.63569
aware,125,-70.26415,41.61616
aware,126,-70.27278,41.61058
aware,127,-70.27123,41.62104
aware,128,-70.26106,41.64623
aware,129,-70.27599,41.64423
aware,130,-70.30305,41.63475
aware,131,-70.31908,41.63264
aware,132,-70.35196,41.63520
aware,133,-70.36587,41.63280
aware,134,-70.38085,41.62299
aware,135,-70.39159,41.61921
aware,136,-70.40587,41.63752
aware,137,-70.41808,41.64004
aware,138,-70.42837,41.63190
aware,139,-70.45910,41.59162
aware,140,-70.47985,41.57388
aware,141,-70.50426,41.56371
aware,142,-70.53270,41.55915
aware,143,-70.56583,41.55817
aware,144,-70.59606,41.55305
aware,145,-70.65868,41.52135
aware,146,-70.67919,41.51045
aware,147,-70.69978,41.50233
aware,148,-70.71840,41.49200
aware,149,-70.74289,41.48165
aware,150,-70.75857,41.47574
aware,151,-70.75755,41.46839
aware,152,-70.76831,41.45955
aware,153,-70.79082,41.44920
aware,154,-70.80846,41.44695
aware,155,-70.83295,41.44247
aware,156,-70.84860,41.43433
aware,157,-70.85445,41.42917
aware,158,-70.87598,41.42248
aware,159,-70.89265,41.42242
aware,160,-70.90639,41.42237
aware,161,-70.92792,41.41862
aware,162,-70.93867,41.41122
aware,163,-70.94850,41.41412
aware,164,-71.34618,41.45474
aware,165,-71.45479,41.40613
aware,166,-71.46962,41.39133
aware,167,-71.48396,41.37995
aware,168,-71.48827,41.37059
aware,169,-71.49771,41.36628
aware,170,-71.50780,41.36811
aware,171,-71.53038,41.37645
aware,172,-71.55583,41.37485
aware,173,-71.59888,41.36752
aware,174,-71.75381,41.33104
aware,175,-71.82897,41.31698
aware,176,-71.87147,41.30258
aware,177,-71.87791,41.31151
aware,178,-71.92073,41.29140
aware,179,-71.93976,41.29220
aware,180,-71.95389,41.28671
aware,181,-71.97681,41.28471
aware,182,-71.99400,41.28308
aware,183,-71.99808,41.27408
aware,184,-72.01135,41.27621
aware,185,-72.02213,41.27686
aware,186,-72.03656,41.26087
aware,187,-72.24722,41.15571
aware,188,-72.26000,41.16083
aware,189,-72.27554,41.16262
aware,190,-72.28946,41.16116
aware,191,-72.34341,41.14065
aware,192,-72.35871,41.13113
aware,193,-72.38305,41.10891
aware,194,-72.41292,41.08981
aware,195,-72.44518,41.08585
aware,196,-72.45386,41.07442
aware,197,-72.47165,41.05595
aware,198,-72.54135,41.02382
aware,199,-72.60611,40.98994
aware,200,-72.62833,40.98359
aware,201,-72.69609,40.98102
aware,202,-72.78112,40.96508
aware,203,-72.83009,40.96918
aware,204,-72.90038,40.96326
aware,205,-73.00897,40.96707
aware,206,-73.04844,40.96302
aware,207,-73.07622,40.97194
aware,208,-73.08458,40.96931
aware,209,-73.07917,40.95856
aware,210,-73.08214,40.95161
aware,211,-73.09130,40.94835
aware,212,-73.10440,40.94880
aware,213,-73.09874,40.96951
aware,214,-73.11315,40.97346
aware,215,-73.13537,40.96845
aware,216,-73.15282,40.96247
aware,217,-73.40193,40.95440
aware,218,-73.43130,40.93329
aware,219,-73.46208,40.93638
aware,220,-73.48569,40.94563
aware,221,-73.49410,40.92705
aware,222,-73.52046,40.91760
aware,223,-73.56527,40.91451
aware,224,-73.63265,40.89959
aware,225,-73.67435,40.85676
aware,226,-73.70531,40.86674
aware,227,-73.72020,40.86624
aware,228,-73.77741,40.89411
aware,229,-73.78283,40.87604
aware,230,-73.78816,40.87177
aware,231,-73.79992,40.87226
aware,232,-73.81168,40.87104
aware,233,-73.81697,40.86201
aware,234,-73.81991,40.83913
aware,235,-73.80506,40.82615
aware,236,-73.79769,40.81319
aware,237,-73.82973,40.81090
aware,238,-73.86603,40.81184
aware,239,-73.89383,40.80385
aware,240,-73.93338,40.79719
aware,241,-73.94642,40.77723
aware,242,-73.97222,40.74068
aware,243,-73.97229,40.72720
aware,244,-73.97581,40.71401
aware,245,-74.00223,40.70405
mesh,0,4.14186,52.00560
mesh,1,4.28468,52.11294
mesh,2,4.56861,52.44526
mesh,3,4.57732,52.48094
mesh,4,4.59693,52.50658
mesh,5,4.63933,52.70067
mesh,6,4.66944,52.79658
mesh,7,4.70769,53.02847
mesh,8,-1.61339,59.52660
mesh,9,-1.59675,59.53205
mesh,10,-1.59675,59.53950
mesh,11,-1.58642,59.55362
mesh,12,-1.58385,59.55370
mesh,13,-1.58239,59.55512
mesh,14,-1.58312,59.55996
mesh,15,-1.60285,59.56025
mesh,16,-1.62523,59.55581
mesh,17,-1.64367,59.54564
mesh,18,-1.86619,59.60584
mesh,19,-2.98207,60.05658
mesh,20,-3.22707,61.06688
mesh,21,-3.48769,62.07666
mesh,22,-3.94235,62.11418
mesh,23,-4.91203,63.78481
mesh,24,-6.45254,64.97360
mesh,25,-7.49315,65.89364
mesh,26,-8.60771,66.80630
mesh,27,-10.35207,67.02289
mesh,28,-12.12593,67.22072
mesh,29,-12.51316,67.46044
mesh,30,-13.81312,66.94666
mesh,31,-21.62643,67.45755
mesh,32,-23.96713,66.59640
mesh,33,-27.07426,66.06204
mesh,34,-28.49894,65.64173
mesh,35,-29.87817,65.20890
mesh,36,-31.21305,64.76419
mesh,37,-32.50481,64.30823
mesh,38,-33.75470,63.84160
mesh,39,-34.96405,63.36487
mesh,40,-36.13421,62.87858
mesh,41,-37.26654,62.38324
mesh,42,-38.36241,61.87933
mesh,43,-39.42318,61.36730
mesh,44,-40.45020,60.84759
mesh,45,-41.44480,60.32061
mesh,46,-42.40826,59.78673
mesh,47,-43.34185,59.24633
mesh,48,-44.24681,58.69974
mesh,49,-45.12432,58.14730
mesh,50,-45.97553,57.58930
mesh,51,-46.80154,57.02602
mesh,52,-47.60344,56.45775
mesh,53,-48.38224,55.88474
mesh,54,-49.13892,55.30721
mesh,55,-49.87444,54.72542
mesh,56,-50.58970,54.13955
mesh,57,-51.28557,53.54982
mesh,58,-51.96286,52.95642
mesh,59,-52.62239,52.35952
mesh,60,-53.26489,51.75930
mesh,61,-52.93350,50.76369
mesh,62,-52.61695,49.76681
mesh,63,-52.31383,48.76884
mesh,64,-52.02286,47.76999
mesh,65,-52.61678,47.17295
mesh,66,-52.84630,47.06147
mesh,67,-52.86083,47.03710
mesh,68,-52.85448,47.03319
mesh,69,-52.85448,47.02635
mesh,70,-52.88927,47.00682
mesh,71,-52.89509,46.99555
mesh,72,-52.88239,46.97797
mesh,73,-52.89590,46.97394
mesh,74,-52.89855,46.96699
mesh,75,-52.89395,46.96039
mesh,76,-52.88585,46.95746
mesh,77,-52.88219,46.95112
mesh,78,-52.90974,46.91279
mesh,79,-52.91527,46.89029
mesh,80,-52.92618,46.86831
mesh,81,-52.93017,46.82713
mesh,82,-52.93749,46.80337
mesh,83,-52.94127,46.79133
mesh,84,-53.06688,46.66559
mesh,85,-53.09154,46.64960
mesh,86,-53.14306,46.62914
mesh,87,-53.17663,46.62515
mesh,88,-53.19286,46.62763
mesh,89,-53.21133,46.63532
mesh,90,-53.51830,46.62857
mesh,91,-53.55468,46.61835
mesh,92,-53.59000,46.62617
mesh,93,-53.62287,46.65583
mesh,94,-53.62658,46.66299
mesh,95,-53.77509,46.71508
mesh,96,-54.82414,46.73768
mesh,97,-55.87388,46.75069
mesh,98,-56.74885,46.51999
mesh,99,-58.22674,46.49526
mesh,100,-58.93364,45.96760
mesh,101,-59.62727,45.43574
mesh,102,-60.22638,44.95783
mesh,103,-60.24645,44.68238
mesh,104,-61.25817,44.69650
mesh,105,-62.27024,44.70180
mesh,106,-63.27130,43.97886
mesh,107,-64.27087,43.96666
mesh,108,-64.73119,43.96349
mesh,109,-64.79711,43.89488
mesh,110,-64.78596,43.87450
mesh,111,-64.81261,43.85285
mesh,112,-64.83898,43.82966
mesh,113,-64.85424,43.83975
mesh,114,-64.88573,43.83885
mesh,115,-64.88150,43.81184
mesh,116,-64.90661,43.80500
mesh,117,-64.95824,43.76577
mesh,118,-64.97008,43.75894
mesh,119,-64.98396,43.75788
mesh,120,-65.01598,43.75841
mesh,121,-65.01448,43.74254
mesh,122,-65.01659,43.72716
mesh,123,-65.02497,43.71621
mesh,124,-65.03441,43.71231
mesh,125,-65.03677,43.71540
mesh,126,-65.03767,43.72081
mesh,127,-65.05285,43.72053
mesh,128,-65.05968,43.70319
mesh,129,-65.07698,43.71076
mesh,130,-65.12857,43.67467
mesh,131,-65.25036,43.67341
mesh,132,-65.26354,43.67080
mesh,133,-65.34606,43.58739
mesh,134,-65.34081,43.54491
mesh,135,-65.36254,43.57494
mesh,136,-65.40779,43.51878
mesh,137,-65.40168,43.50397
mesh,138,-65.41617,43.50007
mesh,139,-65.47411,43.50377
mesh,140,-65.47142,43.49380
mesh,141,-65.47057,43.48005
mesh,142,-65.47484,43.47093
mesh,143,-65.48424,43.47191
mesh,144,-65.49364,43.48033
mesh,145,-65.50402,43.50283
mesh,146,-65.56867,43.49457
mesh,147,-65.57421,43.47671
mesh,148,-65.59797,43.44473
mesh,149,-65.61059,43.42817
mesh,150,-65.62881,43.42206
mesh,151,-65.89392,43.33927
mesh,152,-66.79788,43.05060
mesh,153,-67.69327,42.75489
mesh,154,-68.58006,42.45227
mesh,155,-69.45822,42.14288
mesh,156,-69.93321,41.76191
mesh,157,-69.93423,41.79295
mesh,158,-69.93253,41.74103
mesh,159,-69.93887,41.67422
mesh,160,-69.97814,41.68183
mesh,161,-70.21736,41.64826
mesh,162,-70.24852,41.63569
mesh,163,-70.26415,41.61616
mesh,164,-70.27278,41.61058
mesh,165,-70.27123,41.62104
mesh,166,-70.26106,41.64623
mesh,167,-70.27599,41.64423
mesh,168,-70.30305,41.63475
mesh,169,-70.31908,41.63264
mesh,170,-70.35196,41.63520
mesh,171,-70.36587,41.63280
mesh,172,-70.38085,41.62299
mesh,173,-70.39159,41.61921
mesh,174,-70.40587,41.63752
mesh,175,-70.41808,41.64004
mesh,176,-70.42837,41.63190
mesh,177,-70.45910,41.59162
mesh,178,-70.47985,41.57388
mesh,179,-70.50426,41.56371
mesh,180,-70.53270,41.55915
mesh,181,-70.56583,41.55817
mesh,182,-70.59606,41.55305
mesh,183,-70.65868,41.52135
mesh,184,-70.67919,41.51045
mesh,185,-70.69978,41.50233
mesh,186,-70.71840,41.49200
mesh,187,-70.74289,41.48165
mesh,188,-70.75857,41.47574
mesh,189,-70.75755,41.46839
mesh,190,-70.76831,41.45955
mesh,191,-70.79082,41.44920
mesh,192,-70.80846,41.44695
mesh,193,-70.83295,41.44247
mesh,194,-70.84860,41.43433
mesh,195,-70.85445,41.42917
mesh,196,-70.87598,41.42248
mesh,197,-70.89265,41.42242
mesh,198,-70.90639,41.42237
mesh,199,-70.92792,41.41862
mesh,200,-70.93867,41.41122
mesh,201,-70.94850,41.41412
mesh,202,-71.34618,41.45474
mesh,203,-71.45479,41.40613
mesh,204,-71.46962,41.39133
mesh,205,-71.48396,41.37995
mesh,206,-71.48827,41.37059
mesh,207,-71.49771,41.36628
mesh,208,-71.50780,41.36811
mesh,209,-71.53038,41.37645
mesh,210,-71.55583,41.37485
mesh,211,-71.59888,41.36752
mesh,212,-71.75381,41.33104
mesh,213,-71.82897,41.31698
mesh,214,-71.87147,41.30258
mesh,215,-71.87791,41.31151
mesh,216,-71.92073,41.29140
mesh,217,-71.93976,41.29220
mesh,218,-71.95389,41.28671
mesh,219,-71.97681,41.28471
mesh,220,-71.99400,41.28308
mesh,221,-71.99808,41.27408
mesh,222,-72.01135,41.27621
mesh,223,-72.02213,41.27686
mesh,224,-72.03656,41.26087
mesh,225,-72.24722,41.15571
mesh,226,-72.26000,41.16083
mesh,227,-72.27554,41.16262
mesh,228,-72.28946,41.16116
mesh,229,-72.34341,41.14065
mesh,230,-72.35871,41.13113
mesh,231,-72.38305,41.10891
mesh,232,-72.41292,41.08981
mesh,233,-72.44518,41.08585
mesh,234,-72.45386,41.07442
mesh,235,-72.47165,41.05595
mesh,236,-72.54135,41.02382
mesh,237,-72.60611,40.98994
mesh,238,-72.62833,40.98359
mesh,239,-72.69609,40.98102
mesh,240,-72.78112,40.96508
mesh,241,-72.83009,40.96918
mesh,242,-72.90038,40.96326
mesh,243,-73.00897,40.96707
mesh,244,-73.04844,40.96302
mesh,245,-73.07622,40.97194
mesh,246,-73.08458,40.96931
mesh,247,-73.07917,40.95856
