lon,lat,hs
-61.281,-47.809,1.323
-60.781,-47.809,1.339
-60.281,-47.809,1.374
-59.781,-47.809,1.397
-59.281,-47.809,1.404
-58.781,-47.809,1.404
-58.281,-47.809,1.406
-57.781,-47.809,1.413
-57.281,-47.809,1.421
-56.781,-47.809,1.436
-56.281,-47.809,1.457
-55.781,-47.809,1.488
-55.281,-47.809,1.530
-54.781,-47.809,1.577
-54.281,-47.809,1.623
-53.781,-47.809,1.672
-53.281,-47.809,1.725
-52.781,-47.809,1.782
-52.281,-47.809,1.845
-51.781,-47.809,1.913
-51.281,-47.809,1.988
-50.781,-47.809,2.067
-50.281,-47.809,2.150
-49.781,-47.809,2.235
-49.281,-47.809,2.324
-48.781,-47.809,2.413
-48.281,-47.809,2.504
-47.781,-47.809,2.595
-47.281,-47.809,2.690
-46.781,-47.809,2.792
-46.281,-47.809,2.900
-45.781,-47.809,3.011
-45.281,-47.809,3.123
-44.781,-47.809,3.231
-44.281,-47.809,3.335
-43.781,-47.809,3.435
-43.281,-47.809,3.529
-42.781,-47.809,3.613
-42.281,-47.809,3.685
-41.781,-47.809,3.748
-41.281,-47.809,3.806
-40.781,-47.809,3.859
-40.281,-47.809,3.905
-39.781,-47.809,3.943
-39.281,-47.809,3.972
-38.781,-47.809,3.990
-38.281,-47.809,3.999
-37.781,-47.809,4.005
-37.281,-47.809,4.012
-36.781,-47.809,4.013
-36.281,-47.809,3.994
-35.781,-47.809,3.949
-35.281,-47.809,3.885
-34.781,-47.809,3.814
-34.281,-47.809,3.737
-33.781,-47.809,3.653
-33.281,-47.809,3.559
-32.781,-47.809,3.461
-32.281,-47.809,3.382
-31.781,-47.809,3.329
-31.281,-47.809,3.299
-30.781,-47.809,3.281
-30.281,-47.809,3.269
-29.781,-47.809,3.270
-29.281,-47.809,3.278
-28.781,-47.809,3.269
-28.281,-47.809,3.226
-27.781,-47.809,3.164
-27.281,-47.809,3.103
-26.781,-47.809,3.052
-26.281,-47.809,3.006
-25.781,-47.809,2.952
-25.281,-47.809,2.886
-24.781,-47.809,2.827
-24.281,-47.809,2.785
-23.781,-47.809,2.760
-23.281,-47.809,2.771
-22.781,-47.809,2.809
-22.281,-47.809,2.836
-21.781,-47.809,2.850
-21.281,-47.809,2.867
-20.781,-47.809,2.893
-20.281,-47.809,2.928
-19.781,-47.809,2.968
-19.281,-47.809,3.014
-18.781,-47.809,3.065
-18.281,-47.809,3.121
-17.781,-47.809,3.181
-17.281,-47.809,3.246
-16.781,-47.809,3.319
-16.281,-47.809,3.401
-15.781,-47.809,3.488
-15.281,-47.809,3.576
-14.781,-47.809,3.659
-14.281,-47.809,3.727
-13.781,-47.809,3.780
-13.281,-47.809,3.822
-12.781,-47.809,3.860
-12.281,-47.809,3.898
-11.781,-47.809,3.938
-11.281,-47.809,3.979
-10.781,-47.809,4.016
-10.281,-47.809,4.040
-9.781,-47.809,4.042
-9.281,-47.809,4.025
-8.781,-47.809,3.999
-8.281,-47.809,3.970
-7.781,-47.809,3.939
-7.281,-47.809,3.910
-6.781,-47.809,3.889
-6.281,-47.809,3.873
-5.781,-47.809,3.863
-5.281,-47.809,3.856
-4.781,-47.809,3.856
-4.281,-47.809,3.862
-3.781,-47.809,3.870
-3.281,-47.809,3.877
-2.781,-47.809,3.880
-2.281,-47.809,3.878
-1.781,-47.809,3.875
-1.281,-47.809,3.878
-0.781,-47.809,3.904
-0.281,-47.809,3.953
0.219,-47.809,3.943
0.719,-47.809,3.827
1.219,-47.809,3.633
1.719,-47.809,3.370
2.219,-47.809,3.114
2.719,-47.809,2.889
3.219,-47.809,2.681
3.719,-47.809,2.497
4.219,-47.809,2.340
4.719,-47.809,2.214
5.219,-47.809,2.127
5.719,-47.809,2.066
6.219,-47.809,2.027
6.719,-47.809,2.008
7.219,-47.809,1.976
7.719,-47.809,1.906
8.219,-47.809,1.825
8.719,-47.809,1.776
9.219,-47.809,1.754
9.719,-47.809,1.734
10.219,-47.809,1.717
10.719,-47.809,1.711
11.219,-47.809,1.714
11.719,-47.809,1.721
12.219,-47.809,1.729
12.719,-47.809,1.739
13.219,-47.809,1.750
13.719,-47.809,1.763
14.219,-47.809,1.778
14.719,-47.809,1.796
15.219,-47.809,1.817
15.719,-47.809,1.842
16.219,-47.809,1.873
16.719,-47.809,1.908
17.219,-47.809,1.948
17.719,-47.809,1.993
18.219,-47.809,2.040
18.719,-47.809,2.086
19.219,-47.809,2.129
19.719,-47.809,2.170
20.219,-47.809,2.212
