series,idx,lon,lat
blind,0,-46.30256,-23.95843
blind,1,-46.29162,-23.97918
blind,2,-46.29186,-23.99090
blind,3,-46.30993,-24.00156
blind,4,-46.31737,-24.01637
blind,5,-46.28767,-24.02117
blind,6,-46.26773,-24.01051
blind,7,-46.25304,-23.99586
blind,8,-46.19689,-23.99391
blind,9,-46.18663,-23.99538
blind,10,-46.17504,-23.99090
blind,11,-46.16649,-23.98162
blind,12,-46.16955,-23.97234
blind,13,-12.30736,-37.07008
blind,14,-12.29662,-37.05918
blind,15,-12.29190,-37.05576
blind,16,17.89283,-33.01019
blind,17,17.89340,-33.01719
blind,18,17.89584,-33.02646
blind,19,17.90187,-33.03688
blind,20,17.91277,-33.04746
blind,21,17.93230,-33.03436
blind,22,17.99529,-33.08815
blind,23,17.98048,-33.09124
blind,24,17.95493,-33.10198
blind,25,17.97779,-33.13421
blind,26,17.99171,-33.15032
blind,27,18.02931,-33.16497
blind,28,18.08473,-33.21526
blind,29,18.08774,-33.22584
blind,30,18.12501,-33.28004
blind,31,18.14617,-33.35589
blind,32,18.31430,-33.49651
blind,33,18.31691,-33.55853
blind,34,18.32032,-33.56748
blind,35,18.39096,-33.62949
blind,36,18.40008,-33.63340
blind,37,18.40455,-33.90325
aware,0,-46.30256,-23.95843
aware,1,-46.29162,-23.97918
aware,2,-46.29186,-23.99090
aware,3,-46.30993,-24.00156
aware,4,-46.31737,-24.01637
aware,5,-46.28767,-24.02117
aware,6,-46.26773,-24.01051
aware,7,-46.25304,-23.99586
aware,8,-46.19689,-23.99391
aware,9,-46.18663,-23.99538
aware,10,-46.17504,-23.99090
aware,11,-46.16649,-23.98162
aware,12,-46.16955,-23.97234
aware,13,-12.30736,-37.07008
aware,14,-12.29662,-37.05918
aware,15,-12.29190,-37.05576
aware,16,17.89283,-33.01019
aware,17,17.89340,-33.01719
aware,18,17.89584,-33.02646
aware,19,17.90187,-33.03688
aware,20,17.91277,-33.04746
aware,21,17.93230,-33.03436
aware,22,17.99529,-33.08815
aware,23,17.98048,-33.09124
aware,24,17.95493,-33.10198
aware,25,17.97779,-33.13421
aware,26,17.99171,-33.15032
aware,27,18.02931,-33.16497
aware,28,18.08473,-33.21526
aware,29,18.08774,-33.22584
aware,30,18.12501,-33.28004
aware,31,18.14617,-33.35589
aware,32,18.31430,-33.49651
aware,33,18.31691,-33.55853
aware,34,18.32032,-33.56748
aware,35,18.39096,-33.62949
aware,36,18.40008,-33.63340
aware,37,18.40455,-33.90325
mesh,0,-46.30256,-23.95843
mesh,1,-46.29162,-23.97918
mesh,2,-46.29186,-23.99090
mesh,3,-46.30993,-24.00156
mesh,4,-46.31737,-24.01637
mesh,5,-46.28767,-24.02117
mesh,6,-46.26773,-24.01051
mesh,7,-46.25304,-23.99586
mesh,8,-46.19689,-23.99391
mesh,9,-46.18663,-23.99538
mesh,10,-46.17504,-23.99090
mesh,11,-46.16649,-23.98162
mesh,12,-45.75579,-24.21149
mesh,13,-45.72992,-24.22637
mesh,14,-44.64369,-23.99783
mesh,15,-43.56152,-23.76146
mesh,16,-42.48363,-23.51714
mesh,17,-41.41025,-23.26480
mesh,18,-40.34158,-23.00434
mesh,19,-39.27786,-22.73569
mesh,20,-38.59896,-23.08732
mesh,21,-37.91616,-23.43544
mesh,22,-37.22942,-23.77998
mesh,23,-36.53869,-24.12087
mesh,24,-35.84394,-24.45803
mesh,25,-35.14513,-24.79141
mesh,26,-34.44223,-25.12091
mesh,27,-33.73521,-25.44649
mesh,28,-33.02404,-25.76805
mesh,29,-32.30869,-26.08552
mesh,30,-31.58915,-26.39885
mesh,31,-30.86539,-26.70794
mesh,32,-30.13739,-27.01272
mesh,33,-29.40513,-27.31313
mesh,34,-28.66861,-27.60908
mesh,35,-27.92782,-27.90050
mesh,36,-27.18275,-28.18732
mesh,37,-26.43340,-28.46945
mesh,38,-25.67977,-28.74684
mesh,39,-24.92186,-29.01939
mesh,40,-24.15968,-29.28704
mesh,41,-23.39325,-29.54971
mesh,42,-22.62258,-29.80732
mesh,43,-21.84770,-30.05981
mesh,44,-21.06861,-30.30709
mesh,45,-20.28536,-30.54909
mesh,46,-19.49798,-30.78574
mesh,47,-18.70650,-31.01697
mesh,48,-17.91096,-31.24270
mesh,49,-17.11141,-31.46287
mesh,50,-16.30789,-31.67739
mesh,51,-15.50047,-31.88621
mesh,52,-14.68920,-32.08925
mesh,53,-13.87415,-32.28645
mesh,54,-13.05538,-32.47773
mesh,55,-12.23296,-32.66303
mesh,56,-12.35522,-32.71432
mesh,57,-12.15379,-32.73821
mesh,58,-11.31464,-32.01052
mesh,59,-10.46970,-31.99588
mesh,60,-9.62510,-31.97486
mesh,61,-8.78098,-31.94745
mesh,62,-7.93746,-31.91368
mesh,63,-7.09467,-31.87354
mesh,64,-6.25272,-31.82707
mesh,65,-5.41175,-31.77427
mesh,66,-4.57186,-31.71517
mesh,67,-3.73318,-31.64978
mesh,68,-2.89583,-31.57813
mesh,69,-2.05991,-31.50024
mesh,70,-1.22555,-31.41614
mesh,71,-0.39284,-31.32587
mesh,72,0.43809,-31.22945
mesh,73,1.26715,-31.12692
mesh,74,2.09422,-31.01831
mesh,75,2.91922,-30.90366
mesh,76,3.74205,-30.78301
mesh,77,4.56260,-30.65640
mesh,78,5.38079,-30.52387
mesh,79,6.19653,-30.38547
mesh,80,7.00973,-30.24125
mesh,81,7.82031,-30.09124
mesh,82,8.81322,-30.63700
