leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
0,2.0,139.6523,35.4504,0.963,0.44,0.000,6.00,6.000,6.000,1457.8,1
1,3.9,139.6714,35.4424,0.937,0.32,0.000,6.00,6.000,6.000,1451.6,1
2,4.8,139.6840,35.4353,0.953,0.24,0.000,6.00,6.000,6.000,1456.8,1
3,6.4,139.6847,35.4255,0.963,0.17,0.000,6.00,6.000,6.000,1459.3,1
4,8.4,139.6845,35.4098,0.979,0.21,0.000,6.00,6.000,6.000,1433.5,1
5,9.6,139.6807,35.4008,0.986,0.32,0.000,6.00,6.000,6.000,1405.4,1
6,12.0,139.6623,35.4057,0.972,0.35,0.000,6.00,6.000,6.000,1411.2,1
7,13.7,139.6429,35.4061,0.961,0.41,0.000,6.00,6.000,6.000,1408.9,1
8,15.2,139.6390,35.3951,0.922,0.54,0.000,6.00,6.000,6.000,1393.2,1
9,17.1,139.6497,35.3828,0.942,0.69,0.000,6.00,6.000,6.000,1392.7,1
10,21.3,139.6559,35.3582,0.972,0.99,0.000,6.00,6.000,6.000,1395.4,1
11,22.8,139.6522,35.3330,0.948,1.28,0.000,6.00,6.000,6.000,1394.1,1
12,24.6,139.6500,35.3185,0.962,1.37,0.000,6.00,6.000,6.000,1395.9,1
13,26.0,139.6493,35.3041,0.977,1.47,0.000,6.00,6.000,6.000,1398.1,1
14,27.5,139.6529,35.2923,0.944,1.54,0.000,6.00,6.000,6.000,1395.2,1
15,29.0,139.6609,35.2927,0.950,1.50,0.000,6.00,6.000,6.000,1395.6,1
16,30.3,139.6706,35.2952,0.955,1.44,0.000,6.00,6.000,6.000,1396.0,1
17,33.3,139.6855,35.2801,0.982,1.51,0.000,6.00,6.000,6.000,1399.7,1
18,37.0,139.7142,35.2670,1.016,1.51,0.000,6.00,6.000,6.000,1405.2,1
19,39.1,139.7398,35.2571,1.045,1.49,0.000,6.00,6.000,6.000,1411.5,1
20,42.2,139.7389,35.2358,1.020,1.51,0.000,6.00,6.000,6.000,1411.6,1
21,58.8,139.7840,35.1609,1.085,1.64,0.000,6.00,6.000,6.000,1485.2,1
22,60.1,139.8369,35.0938,1.102,2.50,0.000,6.00,6.000,6.000,1503.8,1
