leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
0,2.0,139.6523,35.4504,0.963,0.44,0.000,6.00,6.000,6.000,1457.8,1
1,3.9,139.6714,35.4424,0.937,0.32,0.000,6.00,6.000,6.000,1451.6,1
2,4.8,139.6840,35.4353,0.953,0.24,0.000,6.00,6.000,6.000,1456.8,1
3,8.3,139.6871,35.4164,0.974,0.17,0.000,6.00,6.000,6.000,1453.5,1
4,9.4,139.6807,35.4008,0.986,0.31,0.000,6.00,6.000,6.000,1405.2,1
5,12.7,139.6584,35.3947,0.933,0.43,0.000,6.00,6.000,6.000,1392.3,1
6,14.6,139.6497,35.3828,0.940,0.60,0.000,6.00,6.000,6.000,1390.3,1
7,28.8,139.6957,35.3211,0.987,1.37,0.000,6.00,6.000,6.000,1399.3,1
8,30.9,139.7398,35.2571,1.036,1.67,0.000,6.00,6.000,6.000,1408.4,1
9,34.0,139.7389,35.2358,1.012,1.69,0.000,6.00,6.000,6.000,1406.7,1
10,54.0,139.7898,35.1459,1.048,1.56,0.000,6.00,6.000,6.000,1476.4,1
11,57.7,139.8410,35.0534,1.135,2.70,0.000,6.00,6.000,6.000,1514.7,1
12,67.0,139.8000,35.0070,1.114,3.03,0.000,6.00,6.000,6.000,1507.5,1
13,68.1,139.7590,34.9762,1.076,3.08,0.000,6.00,6.000,6.000,1495.4,1
14,69.4,139.7526,34.9703,1.079,3.10,0.000,6.00,6.000,6.000,1496.7,1
15,70.4,139.7547,34.9605,1.092,3.26,0.000,6.00,6.000,6.000,1500.9,1
16,72.4,139.7679,34.9552,1.107,3.46,0.000,6.00,6.000,6.000,1506.1,1
17,78.5,139.8004,34.9331,1.155,4.13,0.000,6.00,6.000,6.000,1521.9,1
18,80.9,139.8325,34.9060,1.207,4.95,0.000,6.00,6.000,6.000,1539.5,1
19,82.1,139.8494,34.9012,1.225,5.26,0.000,6.00,6.000,6.000,1545.4,1
20,84.5,139.8694,34.9019,1.239,5.53,0.000,6.00,6.000,6.000,1549.9,1
21,86.2,139.8919,34.9022,1.254,5.87,0.000,6.00,6.000,6.000,1555.1,1
22,88.6,139.9136,34.9052,1.268,6.20,0.000,6.00,6.000,6.000,1559.7,1
