leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
0,2.0,139.6523,35.4504,0.963,0.44,0.000,5.50,5.500,5.500,1130.1,1
1,3.9,139.6714,35.4424,0.938,0.32,0.000,5.50,5.500,5.500,1124.6,1
2,4.8,139.6840,35.4353,0.953,0.23,0.000,5.50,5.500,5.500,1129.2,1
3,8.3,139.6871,35.4164,0.974,0.18,0.000,5.50,5.500,5.500,1125.0,1
4,9.4,139.6807,35.4008,0.987,0.34,0.000,5.50,5.500,5.500,1089.4,1
5,12.7,139.6584,35.3947,0.934,0.46,0.000,5.50,5.500,5.500,1077.3,1
6,14.6,139.6497,35.3828,0.941,0.65,0.000,5.50,5.500,5.500,1075.3,1
7,28.8,139.6957,35.3211,0.989,1.33,0.000,5.50,5.500,5.500,1082.0,1
8,30.9,139.7398,35.2571,1.039,1.61,0.000,5.50,5.500,5.500,1091.0,1
9,34.0,139.7389,35.2358,1.015,1.62,0.000,5.50,5.500,5.500,1090.0,1
10,54.0,139.7898,35.1459,1.053,1.64,0.000,5.50,5.500,5.500,1149.9,1
11,57.7,139.8410,35.0534,1.142,2.96,0.000,5.50,5.500,5.500,1182.6,1
12,67.0,139.8000,35.0070,1.122,3.11,0.000,5.50,5.500,5.500,1177.1,1
13,68.1,139.7590,34.9762,1.084,3.17,0.000,5.50,5.500,5.500,1165.7,1
14,69.4,139.7526,34.9703,1.087,3.23,0.000,5.50,5.500,5.500,1166.6,1
15,70.4,139.7547,34.9605,1.100,3.38,0.000,5.50,5.500,5.500,1170.8,1
16,72.4,139.7679,34.9552,1.116,3.58,0.000,5.50,5.500,5.500,1176.1,1
17,78.5,139.8004,34.9331,1.165,4.26,0.000,5.50,5.500,5.500,1191.6,1
18,80.9,139.8325,34.9060,1.220,5.12,0.000,5.50,5.500,5.500,1208.5,1
19,82.1,139.8494,34.9012,1.240,5.49,0.000,5.50,5.500,5.500,1214.7,1
20,84.5,139.8694,34.9019,1.257,5.83,0.000,5.50,5.500,5.500,1219.6,1
21,86.2,139.8919,34.9022,1.276,6.23,0.000,5.50,5.500,5.500,1225.8,1
22,88.6,139.9136,34.9052,1.292,6.59,0.000,5.50,5.500,5.500,1231.1,1
23,90.5,139.9347,34.9130,1.302,6.89,0.000,5.50,5.500,5.500,1234.8,1
24,91.9,139.9477,34.9233,1.304,7.03,0.000,5.50,5.500,5.500,1235.3,1
25,93.6,139.9573,34.9344,1.302,7.10,0.000,5.50,5.500,5.500,1234.3,1
26,95.6,139.9634,34.9501,1.294,7.09,0.000,5.50,5.500,5.500,1231.0,1
27,109.4,140.0101,35.0091,1.345,7.41,0.000,5.50,5.500,5.500,1254.2,1
28,111.3,140.0655,35.0591,1.428,7.17,0.000,5.50,5.500,5.500,1297.6,1
29,114.2,140.0881,35.0675,1.448,7.20,0.000,5.50,5.500,5.500,1308.2,1
30,121.1,140.1282,35.0969,1.469,7.00,0.000,5.50,5.500,5.500,1321.5,1
31,125.1,140.1778,35.1165,1.600,6.94,0.000,5.50,5.500,5.500,1398.7,1
32,128.5,140.2187,35.1137,1.678,7.31,0.000,5.50,5.500,5.500,1449.9,1
33,132.9,140.2581,35.1222,1.745,7.52,0.000,5.50,5.500,5.500,1497.8,1
34,136.8,140.3001,35.1312,1.817,7.85,0.000,5.50,5.500,5.500,1553.9,1
35,138.5,140.3274,35.1364,1.868,8.12,0.000,5.50,5.500,5.500,1595.7,1
36,140.2,140.3320,35.1501,1.838,7.95,0.000,5.50,5.500,5.500,1557.8,1
37,145.0,140.3541,35.1671,1.852,7.93,0.000,5.50,5.500,5.500,1570.9,1
38,147.7,140.3859,35.1865,1.905,7.99,0.000,5.50,5.500,5.500,1616.8,1
39,150.6,140.3965,35.2093,1.923,7.67,0.000,5.50,5.500,5.500,1633.9,1
40,159.4,140.4060,35.2617,1.898,6.79,0.000,5.50,5.500,5.500,1621.0,1
41,162.6,140.4091,35.3151,1.897,6.30,0.000,5.50,5.500,5.500,1626.8,1
42,180.6,140.4141,35.4098,1.889,5.51,0.000,5.50,5.500,5.500,1626.9,1
43,190.6,140.4533,35.5283,1.939,4.84,0.000,5.50,5.500,5.500,1666.9,1
44,215.7,140.6021,35.6243,2.344,6.97,0.000,6.00,6.000,6.000,2453.7,1
45,220.5,140.7458,35.6898,2.761,9.73,0.000,5.50,5.500,5.500,2470.8,1
46,223.7,140.7870,35.7032,2.869,10.23,0.000,5.50,5.500,5.500,2584.3,1
47,228.0,140.8250,35.7023,2.887,10.60,0.000,5.50,5.500,5.500,2592.9,1
48,229.5,140.8538,35.6915,2.909,11.01,0.000,5.50,5.500,5.500,2609.3,1
49,230.7,140.8647,35.6923,2.925,11.12,0.000,5.50,5.500,5.500,2627.5,1
50,233.5,140.8741,35.7086,2.918,11.06,0.000,5.50,5.500,5.500,2612.2,1
51,234.6,140.8768,35.7249,2.906,10.93,0.000,5.50,5.500,5.500,2591.6,1
52,235.6,140.8696,35.7314,2.896,10.73,0.000,5.50,5.500,5.500,2576.0,1
53,246.4,140.8272,35.7711,2.874,9.54,0.000,5.50,5.500,5.500,2538.4,1
54,272.5,140.7177,35.9110,2.737,5.26,0.000,5.50,5.500,5.500,2329.5,1
55,339.7,140.6699,36.3157,2.540,2.38,0.000,5.50,5.500,5.500,1917.7,1
56,380.3,140.8056,36.7772,2.451,2.82,0.000,6.00,6.000,6.000,2232.1,1
57,381.1,140.9215,36.9377,2.439,2.49,0.000,6.00,6.000,6.000,2226.5,1
58,385.4,140.9430,36.9526,2.448,2.54,0.000,6.00,6.000,6.000,2244.3,1
59,389.6,140.9673,36.9840,2.431,2.73,0.000,6.00,6.000,6.000,2249.4,1
60,403.3,140.9898,37.0623,2.368,2.88,0.000,6.00,6.000,6.000,2236.1,1
61,404.5,141.0065,37.1284,2.274,2.92,0.000,5.50,5.500,5.500,1763.7,1
62,416.3,141.0112,37.1869,2.209,2.57,0.000,5.50,5.500,5.500,1718.0,1
63,428.1,141.0253,37.2923,2.103,2.14,0.000,5.50,5.500,5.500,1645.3,1
64,431.7,141.0390,37.3609,2.041,2.10,0.000,5.50,5.500,5.500,1596.8,1
65,461.8,141.0350,37.5126,1.885,2.26,0.000,5.50,5.500,5.500,1479.4,1
66,463.0,141.0267,37.6530,1.839,3.50,0.000,5.50,5.500,5.500,1461.5,1
67,467.5,141.0221,37.6783,1.828,3.70,0.000,5.50,5.500,5.500,1455.6,1
68,468.4,141.0205,37.7027,1.820,3.86,0.000,5.50,5.500,5.500,1451.6,1
69,547.7,141.2905,37.9940,2.018,5.48,0.000,5.50,5.500,5.500,1575.8,1
70,550.0,141.5528,38.2901,2.200,6.36,0.000,5.50,5.500,5.500,1724.5,1
71,551.4,141.5517,38.3041,2.205,6.54,0.000,5.50,5.500,5.500,1729.2,1
72,552.0,141.5594,38.3111,2.207,6.62,0.000,5.50,5.500,5.500,1730.6,1
73,552.6,141.5645,38.3117,2.209,6.66,0.000,5.50,5.500,5.500,1732.7,1
74,553.3,141.5707,38.3089,2.213,6.69,0.000,5.50,5.500,5.500,1736.0,1
75,581.1,141.5803,38.4327,2.336,8.13,0.000,5.50,5.500,5.500,1825.2,1
