leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
0,2.0,139.6523,35.4504,0.963,0.44,0.000,5.71,5.714,5.714,1262.8,1
1,3.9,139.6714,35.4424,0.938,0.32,0.000,5.71,5.714,5.714,1257.0,1
2,4.8,139.6840,35.4353,0.953,0.23,0.000,5.71,5.714,5.714,1261.8,1
3,8.3,139.6871,35.4164,0.974,0.18,0.000,5.71,5.714,5.714,1257.9,1
4,9.4,139.6807,35.4008,0.986,0.33,0.000,5.71,5.714,5.714,1217.1,1
5,12.7,139.6584,35.3947,0.933,0.45,0.000,5.71,5.714,5.714,1204.6,1
6,14.6,139.6497,35.3828,0.941,0.63,0.000,5.71,5.714,5.714,1202.6,1
7,28.8,139.6957,35.3211,0.988,1.35,0.000,5.71,5.714,5.714,1210.2,1
8,30.9,139.7398,35.2571,1.038,1.63,0.000,5.71,5.714,5.714,1219.2,1
9,34.0,139.7389,35.2358,1.013,1.65,0.000,5.71,5.714,5.714,1217.8,1
10,54.0,139.7898,35.1459,1.051,1.61,0.000,5.71,5.714,5.714,1282.1,1
11,57.7,139.8410,35.0534,1.139,2.84,0.000,5.71,5.714,5.714,1317.1,1
12,67.0,139.8000,35.0070,1.118,3.13,0.000,5.71,5.714,5.714,1310.7,1
13,68.1,139.7590,34.9762,1.080,3.11,0.000,5.71,5.714,5.714,1299.4,1
14,69.4,139.7526,34.9703,1.083,3.15,0.000,5.71,5.714,5.714,1300.5,1
15,70.4,139.7547,34.9605,1.096,3.31,0.000,5.71,5.714,5.714,1304.7,1
16,72.4,139.7679,34.9552,1.112,3.51,0.000,5.71,5.714,5.714,1309.9,1
17,78.5,139.8004,34.9331,1.160,4.19,0.000,5.71,5.714,5.714,1325.5,1
18,80.9,139.8325,34.9060,1.214,5.03,0.000,5.71,5.714,5.714,1342.5,1
19,82.1,139.8494,34.9012,1.231,5.34,0.000,5.71,5.714,5.714,1348.2,1
20,84.5,139.8694,34.9019,1.247,5.66,0.000,5.71,5.714,5.714,1352.8,1
21,86.2,139.8919,34.9022,1.266,6.06,0.000,5.71,5.714,5.714,1358.8,1
22,88.6,139.9136,34.9052,1.281,6.41,0.000,5.71,5.714,5.714,1364.0,1
23,90.5,139.9347,34.9130,1.292,6.71,0.000,5.71,5.714,5.714,1367.7,1
24,91.9,139.9477,34.9233,1.294,6.84,0.000,5.71,5.714,5.714,1368.2,1
25,93.6,139.9573,34.9344,1.292,6.91,0.000,5.71,5.714,5.714,1367.3,1
26,95.6,139.9634,34.9501,1.284,6.89,0.000,5.71,5.714,5.714,1364.1,1
27,109.4,140.0101,35.0091,1.323,7.18,0.000,5.71,5.714,5.714,1381.2,1
28,111.3,140.0655,35.0591,1.403,6.97,0.000,5.71,5.714,5.714,1423.1,1
29,114.2,140.0881,35.0675,1.422,7.01,0.000,5.71,5.714,5.714,1433.5,1
30,121.1,140.1282,35.0969,1.443,6.84,0.000,5.71,5.714,5.714,1446.5,1
31,125.1,140.1778,35.1165,1.546,6.86,0.000,5.71,5.714,5.714,1507.6,1
